netflix_id,title,image,rating,url,content_type,show_type,season_number,year,tv_rating,description,genre,cast,director,duration,language,Awards,updated_db,item_category
0,Chhota Bheem (Season 5),,"4.3/10
",https://www.netflix.com/title/0,,,,,,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.","Animation, Action, Adventure","Mausam, Rajesh Kava, Kaustav Ghosh",,"15 min
",Hindi,2 wins & 6 nominations,"Jan 25, 2023",What’s New on Netflix
1001011,The Sting (1973),,8.3/10,https://www.netflix.com/title/1001011,Recommended,,,,,"In this Oscar winner, a rookie grifter and veteran con man plan to fleece a homicidal racketeer through a phony racetrack scam in 1930s Chicago.","Comedy, Crime, Drama","Paul Newman, Robert Redford, Robert Shaw",George Roy Hill,"129 min / 2h 9m
",English,Won 7 Oscars. 18 wins & 6 nominations total,"Jan 25, 2023",What’s New on Netflix
1029730,Teenage Mutant Ninja Turtles: The Movie (1990),,6.7/10,https://www.netflix.com/title/1029730,,,,,,"After training as ninjas under Master Splinter in the sewers of New York, four heroic, pizza-loving turtles take on a dangerous gang to save the city.","Action, Adventure, Comedy","Judith Hoag, Elias Koteas, Josh Pais",Steve Barron,"93 mins / 1h 33m
",English,3 wins & 3 nominations,"Jan 25, 2023",What’s New on Netflix
1056189,Top Gun (1986),,6.9/10,https://www.netflix.com/title/1056189,Recommended,,,,,"A renegade pilot enters an elite combat training school where he finds fierce competition, a heated romance and danger lurking in the skies.","Action, Drama","Tom Cruise, Tim Robbins, Kelly McGillis",Tony Scott,"110 min / 1h 50m
",English,Won 1 Oscar. 11 wins & 5 nominations total,"Jan 25, 2023",What’s New on Netflix
1072091,Twins (1988),,6.1/10,https://www.netflix.com/title/1072091,,,,,,"Separated at birth after a genetic experiment gone awry, long-lost twin brothers reunite in this comedy starring Arnold Schwarzenegger and Danny DeVito.","Comedy, Crime","Arnold Schwarzenegger, Danny DeVito, Kelly Preston",Ivan Reitman,"107 min / 1h 47m
",English,4 wins & 1 nomination,"Jan 25, 2023",What’s New on Netflix
1151658,Vegas Vacation (1997),,5.9/10,https://www.netflix.com/title/1151658,,,,,,"The Griswold family risks it all on a trip to Sin City, where they bet big, see the sights and make new friends. But how long will their luck hold?",Comedy,"Chevy Chase, Beverly D'Angelo, Randy Quaid",Stephen Kessler,"93 min / 1h 33m
",English,1 nomination,"Jan 25, 2023",What’s New on Netflix
1152837,The Devil's Own (1997),,6.2/10,https://www.netflix.com/title/1152837,,,,,,"New York cop Tom O'Meara and his family welcome a young Irishman into their home, unaware that he's on the run -- and on a mission to avenge his father.","Action, Crime, Drama","Harrison Ford, Brad Pitt, Margaret Colin",Alan J. Pakula,"111 min / 1h 51m
",English,1 nomination,"Jan 25, 2023",What’s New on Netflix
1153656,Austin Powers: International Man of Mystery (1997),,7.0/10,https://www.netflix.com/title/1153656,Recommended,,,,,"A swingin' fashion photographer by day and a groovy British secret agent by night, superspy Austin Powers must foil the sinister schemes of Dr. Evil.","Adventure, Comedy","Mike Myers, Elizabeth Hurley, Michael York",Jay Roach,"89 min / 1h 29m
",English,3 wins & 8 nominations,"Jan 25, 2023",What’s New on Netflix
1154359,My Best Friend's Wedding (1997),,6.3/10,https://www.netflix.com/title/1154359,,,,,,Food critic Julianne does her sneaky best to sabotage her pal Michael's wedding to rich college student Kimmy after realizing she wants him for herself.,"Comedy, Drama, Romance","Julia Roberts, Dermot Mulroney, Cameron Diaz",P.J. Hogan,"105 min / 1h 45m
",English,Nominated for 1 Oscar. 12 wins & 24 nominations total,"Jan 25, 2023",What’s New on Netflix
1171915,Air Force One (1997),,6.5/10,https://www.netflix.com/title/1171915,Recommended,,,,,"Russian terrorists hijack Air Force One with the president and his family on board, forcing the commander-in-chief into an impossible predicament.","Action, Drama, Thriller","Harrison Ford, Gary Oldman, Glenn Close",Wolfgang Petersen,"124 min / 2h 4m
",English,Nominated for 2 Oscars. 7 wins & 13 nominations total,"Jan 25, 2023",What’s New on Netflix
1179053,Seven Years in Tibet (1997),,7.1/10,https://www.netflix.com/title/1179053,,,,,,"During World War II, an escaped POW makes his way to Tibet, where he meets the Dalai Lama, whose friendship ultimately transforms his outlook on life.","Adventure, Biography, Drama","Brad Pitt, David Thewlis, BD Wong",Jean-Jacques Annaud,"136 min / 2h 16m
",English,3 wins & 8 nominations,"Jan 25, 2023",What’s New on Netflix
1180077,Boogie Nights (1997),,7.9/10,https://www.netflix.com/title/1180077,Recommended,,,,,A well-endowed busboy is taken in by a tight-knit group of 1970s porn actors and transforms himself into skin flick celebrity Dirk Diggler.,Drama,"Mark Wahlberg, Julianne Moore, Burt Reynolds",Paul Thomas Anderson,"155 min / 2h 35m
",English,Nominated for 3 Oscars. 37 wins & 65 nominations total,"Jan 25, 2023",What’s New on Netflix
1180113,Gattaca (1997),,7.8/10,https://www.netflix.com/title/1180113,Recommended,,,,,"In a dystopian future where genetics determines your fate, a man born into limited prospects plots to escape his second-class citizen status.","Drama, Sci-Fi, Thriller","Ethan Hawke, Uma Thurman, Jude Law",Andrew Niccol,"106 min / 1h 46m
",English,Nominated for 1 Oscar. 6 wins & 16 nominations total,"Jan 25, 2023",What’s New on Netflix
1181461,Titanic (1997),,7.9/10,https://www.netflix.com/title/1181461,Recommended,,,,,"On a doomed luxury liner, first-class passenger Rose finds a love to last a lifetime when she falls for penniless artist Jack just as disaster strikes.","Drama, Romance","Leonardo DiCaprio, Kate Winslet, Billy Zane",James Cameron,"194 min / 3h 14m
",English,Won 11 Oscars. 125 wins & 83 nominations total,"Jan 25, 2023",What’s New on Netflix
1181616,Starship Troopers (1997),,7.2/10,https://www.netflix.com/title/1181616,,,,,,"When a race of fire-spitting, brain-sucking bugs attack Earth and obliterate Buenos Aires, an infantry unit heads to the aliens' planet for a showdown.","Action, Adventure, Sci-Fi","Casper Van Dien, Denise Richards, Dina Meyer",Paul Verhoeven,"129 min / 2h 9m
",English,Nominated for 1 Oscar. 3 wins & 16 nominations total,"Jan 25, 2023",What’s New on Netflix
1181714,I Know What You Did Last Summer (1997),,5.8/10,https://www.netflix.com/title/1181714,,,,,,"Haunted by a tragic accident they tried to cover up, four teen friends reconnect a year later when a hook-wielding killer begins to stalk them.","Horror, Mystery","Jennifer Love Hewitt, Sarah Michelle Gellar, Anne Heche",Jim Gillespie,"101 min / 1h 41m
",English,3 wins & 7 nominations,"Jan 25, 2023",What’s New on Netflix
121442,This is a True Story,,"6.8/10
",https://www.netflix.com/title/121442,Netflix Original Game,,,,,"Explore a beautiful, hand-painted landscape in this lush narrative puzzle game that's based on actual events and interviews. Survive a windstorm, catch poachers, and even befriend a goat! Adventure and insight await you at every turn as you search for water and marvel at Earth's natural beauty.",,,,,English,,"Jan 25, 2023",What’s New on Netflix
124149,Shatter Remastered,,,https://www.netflix.com/title/124149,Netflix Original Game,,,,,"Shatter Remastered is a retro-inspired brick-breaking game that combines classic action with unique twists and incredible boss battles. Widely accepted as the game that redefined the brick-breaking genre, Shatter Remastered features dozens of unique levels packed with amazing physics, power-ups and special attacks. Easy to learn but hard to master.",,,,,English,,"Jan 25, 2023",What’s New on Netflix
17236928,Rush Hour (1998),,7.0/10,https://www.netflix.com/title/17236928,,,,,,"When a Hong Kong inspector is summoned to Los Angeles to investigate a kidnapping, the FBI assigns a cocky LAPD cop to distract him from the case.","Action, Comedy, Crime","Jackie Chan, Chris Tucker, Ken Leung",Brett Ratner,"98 min / 1h 38m
",English,6 wins & 9 nominations,"Jan 25, 2023",What’s New on Netflix
19054266,Bonnie and Clyde (1967),,7.8/10,https://www.netflix.com/title/19054266,,,,,,"Bonnie Parker and Clyde Barrow are young, in love and on the run during a bullet-riddled bank robbery spree across Depression-ravaged America.","Action, Biography, Crime","Warren Beatty, Faye Dunaway, Michael J. Pollard",Arthur Penn,"111 min / 1h 51m
",English,Won 2 Oscars. 23 wins & 30 nominations total,"Jan 25, 2023",What’s New on Netflix
20254278,Aakhri Adaalat (1988),,"5.3/10
",https://www.netflix.com/title/20254278,,,,,,An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.,"Action, Thriller","Vinod Khanna, Dimple Kapadia, Jackie Shroff",Rajiv Mehra,"148 min / 2h 28m
",Hindi,,"Jan 25, 2023",What’s New on Netflix
20257393,Professor (1962),,"6.8/10
",https://www.netflix.com/title/20257393,,,,,,A college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt.,"Comedy, Drama, Musical","Shammi Kapoor, Lalita Pawar, Parveen Choudhary",Lekh Tandon,"166 min / 2h 46m
",Hindi,1 win & 4 nominations,"Jan 25, 2023",What’s New on Netflix
20764666,English Babu Desi Mem (1996),,"4.6/10
",https://www.netflix.com/title/20764666,,,,,,"After his brother dies, wealthy Vikram reluctantly returns to India and forms a surprise bond with his orphaned nephew and the showgirl raising him.","Comedy, Drama, Musical","Shah Rukh Khan, Sonali Bendre, Rajeshwari",Praveen Nischol,"170 min / 2h 50m
",Hindi,,"Jan 25, 2023",What’s New on Netflix
21060556,Life (1999),,6.7/10,https://www.netflix.com/title/21060556,,,,,,"Framed for murder in Prohibition-era Mississippi, odd-couple New Yorkers Ray and Claude spend decades together after they're sentenced to life in prison.","Comedy, Crime, Drama","Eddie Murphy, Martin Lawrence, Obba Babatundé",Ted Demme,"108 min / 1h 48m
",English,Nominated for 1 Oscar. 1 win & 6 nominations total,"Jan 25, 2023",What’s New on Netflix
21302357,Austin Powers: The Spy Who Shagged Me (1999),,6.6/10,https://www.netflix.com/title/21302357,,,,,,"When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's ""mojo,"" Austin must return to the swingin' '60s himself.","Action, Adventure, Comedy","Mike Myers, Heather Graham, Michael York",Jay Roach,"95 min / 1h 35m
",English,Nominated for 1 Oscar. 18 wins & 31 nominations total,"Jan 25, 2023",What’s New on Netflix
21303955,Big Daddy (1999),,6.4/10,https://www.netflix.com/title/21303955,,,,,,"Sonny, who's been slacking since law school, gets a crash course in personal responsibility when he suddenly finds himself taking care of a 5-year-old.","Comedy, Drama","Adam Sandler, Joey Lauren Adams, Jon Stewart",Dennis Dugan,"93 min / 1h 33m
",English,8 wins & 14 nominations,"Jan 25, 2023",What’s New on Netflix
21304015,Notting Hill (1999),,7.2/10,https://www.netflix.com/title/21304015,Recommended,,,,,"A chance encounter brings together reserved bookstore owner William Thacker and Hollywood icon Anna Scott, who forge an improbable romance.","Comedy, Drama, Romance","Hugh Grant, Julia Roberts, Richard McCabe",Roger Michell,"124 min / 2h 4m
",English,Won 1 BAFTA Award11 wins & 17 nominations total,"Jan 25, 2023",What’s New on Netflix
217258,The Addams Family (1991),,6.9/10,https://www.netflix.com/title/217258,Recommended,,,,,"The Addams family -- Gomez, Morticia, Wednesday and Pugsley -- welcome long-lost relation Fester back into the creepy, kooky and close-knit fold.","Comedy, Fantasy","Anjelica Huston, Raul Julia, Christopher Lloyd",Barry Sonnenfeld,"99 min / 1h 39m
",English,Nominated for 1 Oscar. 5 wins & 23 nominations total,"Jan 25, 2023",What’s New on Netflix
